id,target_class
15,0
28,1
30,0
35,0
48,0
49,0
51,0
60,0
65,0
70,0
72,0
74,0
77,0
89,0
102,0
107,0
114,0
117,0
120,0
121,0
122,0
128,0
137,0
138,0
147,0
148,1
159,0
170,0
171,0
173,0
174,0
180,0
189,0
193,0
199,0
200,0
203,0
209,0
216,0
218,0
221,0
222,0
232,0
233,0
234,0
239,0
248,0
251,0
254,0
255,1
272,0
273,0
275,1
279,0
280,0
283,0
286,0
294,0
296,0
297,0
301,0
304,0
307,0
313,0
324,0
325,0
335,1
339,0
348,0
356,0
360,0
362,1
368,0
369,0
370,0
373,0
387,0
392,0
399,0
406,0
410,0
414,0
420,0
429,0
430,0
435,1
437,0
439,0
440,0
448,0
459,0
460,0
467,0
471,0
475,0
479,0
481,0
488,0
494,0
496,0
499,0
501,1
506,0
507,0
512,0
515,0
516,0
520,0
525,0
529,0
534,0
539,0
545,0
550,0
555,1
560,0
576,0
579,0
582,0
583,0
584,1
589,0
600,0
610,0
611,0
613,0
625,0
633,0
639,0
640,0
645,0
649,0
655,0
656,0
672,0
675,0
679,0
681,0
684,0
687,0
692,1
703,0
711,0
713,0
724,0
727,0
731,0
732,0
733,0
735,0
740,1
748,0
754,0
761,0
770,0
773,0
775,0
791,0
796,0
806,0
809,0
852,0
856,0
859,0
860,0
861,0
866,0
868,0
872,0
885,0
888,0
889,0
894,0
902,0
911,0
919,0
922,0
925,0
927,0
931,0
932,0
943,0
944,0
946,0
951,0
955,0
960,1
961,0
971,0
973,0
974,0
988,0
989,0
993,0
994,0
999,0
1002,0
1007,0
1009,0
1013,0
1019,0
1021,0
1029,0
1036,0
1038,0
1040,1
1041,0
1047,0
1052,0
1058,1
1059,0
1068,0
1071,0
1076,0
1079,0
1089,0
1090,0
1092,0
1098,0
1110,0
1126,0
1127,0
1130,0
1135,0
1137,0
1139,0
1146,0
1147,0
1156,0
1158,0
1159,0
1167,0
1171,0
1178,1
1179,1
1182,0
1187,0
1196,0
1198,0
1201,1
1207,0
1210,0
1212,0
1214,1
1216,0
1221,1
1224,0
1225,0
1227,0
1241,0
1247,0
1252,0
1257,0
1259,0
1261,0
1263,0
1275,1
1277,1
1281,0
1291,0
1294,0
1297,0
1307,0
1312,0
1313,0
1319,0
1327,1
1328,0
1329,0
1331,0
1332,0
1336,0
1338,0
1342,0
1346,0
1351,0
1361,0
1362,0
1369,0
1389,0
1390,0
1404,0
1405,0
1421,0
1423,0
1427,0
1439,0
1441,0
1445,0
1451,0
1453,0
1460,0
1466,0
1477,0
1484,0
1489,0
1499,0
1500,0
1503,0
1504,0
1508,0
1510,0
1511,0
1514,0
1517,1
1518,0
1522,0
1525,0
1529,0
1541,0
1545,0
1550,0
1577,0
1578,0
1587,0
1590,0
1593,0
1594,0
1600,0
1603,0
1620,0
1623,0
1627,0
1629,0
1632,0
1633,0
1639,1
1642,0
1644,0
1645,0
1646,0
1649,0
1655,0
1661,0
1665,0
1666,0
1668,0
1671,0
1679,0
1681,0
1702,0
1703,0
1704,0
1707,0
1712,1
1721,0
1723,0
1727,0
1743,0
1747,0
1748,1
1759,0
1762,0
1765,0
1767,0
1779,0
1787,0
1794,0
1801,0
1817,0
1823,0
1825,1
1832,0
1848,0
1850,0
1853,0
1854,0
1866,0
1871,0
1876,0
1881,0
1884,0
1888,0
1891,0
1897,0
1898,0
1905,0
1906,0
1909,0
1925,0
1929,0
1930,0
1932,0
1936,0
1938,0
1940,0
1942,0
1944,0
1946,0
1948,0
1951,0
1960,0
1967,0
1970,0
1977,0
1986,0
1994,0
1997,0
1998,0
2000,0
2002,0
2012,0
2015,0
2016,0
2019,0
2034,0
2047,0
2052,0
2059,0
2071,1
2072,0
2073,0
2074,0
2075,0
2076,0
2078,0
2085,0
2091,0
2096,0
2098,0
2100,0
2101,0
2104,0
2105,0
2114,1
2135,0
2139,0
2144,0
2145,0
2151,0
2153,0
2161,0
2166,0
2170,0
2186,0
2187,0
2188,0
2196,0
2197,0
2203,0
2205,0
2211,0
2216,0
2223,0
2224,0
2227,0
2234,0
2243,0
2245,0
2248,0
2250,0
2254,0
2260,0
2261,1
2265,0
2270,0
2277,0
2294,1
2304,0
2306,0
2311,0
2317,1
2321,0
2334,0
2337,0
2338,0
2339,1
2344,0
2347,0
2356,0
2362,0
2364,0
2370,0
2373,0
2375,0
2380,0
2389,0
2396,0
2397,0
2403,0
2416,0
2421,0
2423,0
2424,1
2429,0
2431,0
2434,0
2443,0
2444,0
2447,0
2452,0
2454,0
2458,0
2473,0
2474,0
2482,0
2486,0
2487,0
2492,0
2493,0
2495,0
2497,0
2499,1
2508,0
2521,0
2524,0
2530,0
2535,0
2543,0
2545,0
2559,0
2562,0
2573,0
2574,0
2584,0
2588,0
2594,0
2595,0
2600,0
2602,0
2603,0
2608,0
2620,0
2632,0
2637,0
2652,0
2654,0
2657,0
2658,1
2660,0
2661,0
2663,0
2668,0
2673,0
2685,0
2690,0
2691,0
2694,0
2697,1
2701,0
2711,0
2715,0
2717,0
2719,0
2723,0
2724,0
2730,0
2737,0
2741,0
2743,0
2744,0
2747,0
2771,0
2774,0
2791,0
2793,0
2794,0
2798,0
2809,0
2813,0
2817,1
2818,0
2820,0
2824,0
2830,1
2832,0
2835,0
2836,0
2840,0
2852,0
2853,0
2854,0
2859,0
2864,0
2871,0
2872,0
2873,0
2877,0
2879,1
2880,0
2891,0
2900,0
2909,0
2917,0
2923,0
2924,0
2926,0
2930,0
2931,0
2932,0
2938,0
2945,0
2947,0
2963,0
2970,0
2975,0
2987,0
2988,0
2997,0
2999,0
3005,0
3006,0
3013,0
3014,0
3015,0
3017,0
3018,0
3023,0
3034,0
3037,0
3041,0
3044,1
3053,0
3054,0
3058,1
3064,0
3067,0
